# rank dmarc dmarc+report dmarc+external dmarc+external+noauth
1 4530 4038 2665 269
2 3533 3002 1898 260
3 3256 2727 1663 196
4 3041 2525 1526 210
5 2969 2460 1468 217
6 2865 2337 1373 197
7 2773 2251 1355 203
8 2745 2204 1306 190
9 2670 2146 1258 185
10 2565 2050 1158 171
11 2591 2020 1211 182
12 2449 1908 1165 173
13 2481 1923 1119 147
14 2364 1835 1084 180
15 2375 1836 1051 181
16 2390 1822 1065 163
17 2359 1847 1099 174
18 2280 1750 1033 160
19 2309 1761 1038 181
20 2240 1696 1007 159
21 2152 1641 946 148
22 2133 1596 921 146
23 2125 1573 907 175
24 2094 1584 919 157
25 2123 1610 904 167
26 2075 1549 894 129
27 2021 1523 862 129
28 2019 1506 851 137
29 2089 1531 862 151
30 2007 1472 849 134
31 2012 1477 803 147
32 2023 1502 880 153
33 1930 1414 845 150
34 1966 1430 828 177
35 1881 1408 780 132
36 1918 1387 807 142
37 1897 1389 778 144
38 1861 1374 764 133
39 1891 1402 830 141
40 1878 1346 782 139
41 1873 1360 780 147
42 1946 1394 801 137
43 1825 1317 740 143
44 1898 1352 784 148
45 1861 1352 788 133
46 1772 1273 718 124
47 1796 1294 742 120
48 1870 1354 781 143
49 1815 1292 731 146
50 1794 1264 702 116
51 1736 1242 714 152
52 1719 1223 714 136
53 1718 1227 700 132
54 1793 1256 691 132
55 1802 1282 739 153
56 1725 1201 648 124
57 1734 1228 714 139
58 1680 1199 672 118
59 1674 1145 625 119
60 1661 1166 685 141
61 1743 1203 698 118
62 1700 1182 659 149
63 1668 1151 642 135
64 1664 1176 685 130
65 1611 1147 643 120
66 1631 1138 631 136
67 1625 1122 620 126
68 1644 1120 627 125
69 1587 1104 599 107
70 1627 1141 622 140
71 1604 1128 631 132
72 1585 1108 630 136
73 1512 1073 600 129
74 1566 1061 574 115
75 1592 1116 624 116
76 1577 1097 603 125
77 1542 1075 577 100
78 1611 1101 614 121
79 1531 1108 621 107
80 1529 1033 588 110
81 1551 1042 577 114
82 1578 1086 596 107
83 1492 1000 556 115
84 1490 1035 610 135
85 1521 1051 581 114
86 1504 1008 545 100
87 1544 1028 597 126
88 1487 1011 574 121
89 1449 983 559 130
90 1432 988 548 108
91 1469 970 551 123
92 1472 934 513 107
93 1441 989 554 103
94 1433 967 559 126
95 1421 965 530 109
96 1487 1004 563 109
97 1468 976 547 118
98 1506 1014 576 110
99 1438 964 565 115
100 1397 925 539 120
